shortName,properName,category,enabled,chocoInstallPackage,chocoPortablePackage,wingetPackage,scoopPackage,description
firefox,Mozilla Firefox,browsers,1,firefox,firefox,Mozilla.Firefox,,
chrome,Google Chrome,browsers,1,googlechrome,googlechrome,Google.Chrome,,
chromium,Chromium,browsers,1,chromium,chromium,,,
vivaldi,Vivaldi,browsers,1,vivaldi,vivaldi,,,
opera,Opera,browsers,1,opera,opera,,,
brave,Brave,browsers,1,brave,brave,,,
discord,Discord,messaging,1,discord.install,discord,Discord.Discord,,
slack,Slack,messaging,1,slack,slack,SlackTechnologies.Slack,,
skype,Skype,messaging,1,skype,skype,Microsoft.Skype,,
thunderbird,Thunderbird,messaging,1,thunderbird,thunderbird,Mozilla.Thunderbird,,
zoom,Zoom,messaging,1,zoom,zoom,Zoom.Zoom,,
malwarebytes,Malwarebytes,security,1,malwarebytes,malwarebytes,,,
avast,Avast Free Antivirus,security,1,avastfreeantivirus,avastfreeantivirus,,,
keepass,Keepass,security,1,keepass,keepass,DominikReichl.KeePass,,
qtpass,QtPass,security,1,qtpass,qtpass,,,
lastpass,LastPass,security,1,lastpass,lastpass,LogMeIn.LastPass,,
openvpn,OpenVPN,security,1,openvpn,openvpn,OpenVPNTechnologies.OpenVPN,,
python,Python,devlangs,1,python,python,Python.Python,,
python2,Python2,devlangs,1,python2,python2,Python.Python -v 2,,
nodejs,NodeJS,devlangs,1,nodejs,nodejs,OpenJS.Nodejs,,
nodejs-lts,NodeJS (LTS),devlangs,1,nodejs-lts, ,OpenJS.Nodejs -v 12,,
jdk8,JDK8,devlangs,1,jdk8,jdk8,AdoptOpenJDK.OpenJDK -v 8,,
go,Go,devlangs,1,golang,golang,,,
rust,Rust,devlangs,1,rust,rust, ,,
ruby,Ruby,devlangs,1,ruby,ruby,RubyInstallerTeam.RubyWithDevKit,,
php,PHP,devlangs,1,php,php,,,
perl,Strawberry Perl,devlangs,1,strawberryperl,strawberryperl,StrawberryPerl.StrawberryPerl,,
powershell,PowerShell,devtools,1,powershell,powershell,Microsoft.Powershell,,
vscode,Visual Studio Code,devtools,1,vscode,vscode,,,
notepad++,Notepad++,devtools,1,notepadplusplus.install,notepadplusplus.commandline,Notepad++.Notepad++,,
git,Git,devtools,1,git,git.portable,Git.Git,,
aws-cli,AWS CLI,devtools,1,awscli,awscli,Amazon.AWSCLI,,
azure-cli,Azure CLI,devtools,1,azure-cli,azure-cli,Microsoft.AzureCLI,,
docker-cli,Docker CLI,devtools,1,docker-cli,docker-cli,,,
docker-desktop,Docker Desktop,devtools,1,docker-desktop,docker-desktop,Docker.DockerDesktop,,
docker-compose,docker-compose,devtools,1,docker-compose,docker-compose,,,
ssh,OpenSSH,devtools,1,openssh,openssh,,,
winscp,WinSCP,devtools,1,winscp,winscp.portable,WinSCP.WinSCP,,
filezilla,FileZilla,devtools,1,filezilla,filezilla.commandline,TimKosse.FilezillaClient,,
putty,PuTTY,devtools,1,putty,putty.portable,SimonTatham.Putty,,
eclipse,Eclipse,devtools,1,eclipse,eclipse,,,
arduino,Arduino IDE,devtools,1,arduino,arduino,,,
curl,cURL,devtools,1,curl,curl,,,
wget,GNU Wget,devtools,1,wget,wget,,,
virtualbox,VirtualBox,devtools,1,virtualbox,virtualbox,,,
wireshark,Wireshark,devtools,1,wireshark,wireshark,WiresharkFoundation.Wireshark,,
spotify,Spotify,media,1,spotify,spotify,Spotify.Spotify,,
itunes,iTunes,media,1,itunes,itunes,Apple.iTunes,,
vlc,VLC,media,1,vlc,vlc.portable,Videolan.Vlc,,
foobar2000,foobar2000,media,1,foobar2000,foobar2000,,,
mpc-hc,MPC-HC,media,1,mpc-hc,mpc-hc,,,
k-lite,K-Lite Codec Pack (Full),media,1,k-litecodecpackfull,k-litecodecpackfull,,,
handbrake,Handbrake,media,1,handbrake,handbrake.portable,,,
powertoys,PowerToys,utility,1,powertoys,powertoys,Microsoft.PowerToys,,
everything,Everything,utility,1,everything,everything.portable,voidtools.Everything,,
teracopy,TeraCopy,utility,1,teracopy,teracopy,,,
treesize,TreeSize Free,utility,1,treesizefree,treesizefree.portable,JAMSoftware.TreeSize,,
cpu-z,CPU-Z,utility,1,cpu-z.install,cpu-z.portable,CPUID.CPU-Z,,
gpu-z,GPU-Z,utility,1,gpu-z.portable,gpu-z.portable,,,
imgburn,ImgBurn,utility,1,imgburn,imgburn,,,
etcher,Etcher,utility,1,etcher,etcher,Balena.Etcher,,
rufus,Rufus,utility,1,rufus,rufus,Rufus.Rufus,,
greenshot,Greenshot,utility,1,greenshot,greenshot,Greenshot.Greenshot,,
autohotkey,AutoHotkey,utility,1,autohotkey,autohotkey,,,
sysinternals,Sysinternals,utility,1,sysinternals,sysinternals,,,
ccleaner,CCleaner,utility,1,ccleaner,ccleaner,PiriformSoftware.CCleaner,,
launchy,Launchy,utility,0,launchy,launchy,,,
qbittorrent,qBittorrent,filesharing,1,qbittorrent,qbittorrent,qBittorrent.qBittorrent,,
transmission,Transmission,filesharing,1,transmission,transmission,,,
deluge,Deluge,filesharing,1,deluge,deluge,,,
obs,OBS Studio,creative,1,obs-studio,obs-studio,OBSProject.OBSStudio,,
audacity,Audacity,creative,1,audacity,audacity,,,
lame,LAME for Audacity,creative,1,audacity-lame,audacity-lame,,,
unity,Unity Hub,creative,1,unity-hub,unity-hub,,,
blender,Blender,creative,1,blender,blender,,,
paint.net,Paint.NET,creative,1,paint.net,paint.net,,,
gimp,GIMP,creative,1,gimp,gimp,gimp.gimp,,
krita,Krita,creative,1,krita,krita,,,
inkscape,Inkscape,creative,1,inkscape,inkscape,Inkscape.Inkscape,,
7zip,7-Zip,compression,1,7zip,7zip.portable,7zip.7zip,7zip,
peazip,PeaZip,compression,1,peazip.install,peazip,Giorgiotani.Peazip,,
winrar,WinRAR,compression,1,winrar,winrar,RARLab.WinRAR,,
cpp-redistributable,Microsoft Visual C++ Redistributable,runtimes,0,vcredist140,vcredist140,,,
silverlight,Microsoft Silverlight,runtimes,1,silverlight,silverlight,,,
air,Adobe Air,runtimes,1,adobeair,adobeair,,,
jre,Java Runtime (JRE) 8,runtimes,1,javaruntime,javaruntime,,,
flash,Flash Player Plugin,runtimes,1,flashplayerplugin,flashplayerplugin,,,
